"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.975789710E-1,4.856378585E-2,1.196532324E-1,-7.895433158E-2,1.513576024E-1
2.995787040E-1,5.955936015E-2,1.263727546E-1,-7.406741381E-2,1.581245467E-1
3.015785040E-1,6.750060618E-2,1.269836128E-1,-6.856962293E-2,1.593203155E-1
3.035782370E-1,6.994406879E-2,1.282053441E-1,-6.734789163E-2,1.608245053E-1
3.055779700E-1,7.422012836E-2,1.294270754E-1,-5.574145541E-2,1.592705407E-1
3.075777030E-1,7.422012836E-2,1.294270754E-1,-5.574145541E-2,1.592705407E-1
3.095778690E-1,6.933320314E-2,1.288162023E-1,-5.757404864E-2,1.572115712E-1
3.115776020E-1,6.383541971E-2,1.251510233E-1,-5.513058975E-2,1.509209109E-1
3.135773350E-1,5.955936015E-2,1.251510233E-1,-5.574145541E-2,1.493894436E-1
3.155771350E-1,4.795292020E-2,1.214858219E-1,-5.513058975E-2,1.417662492E-1
3.175769350E-1,4.245513305E-2,1.135445759E-1,-6.001751125E-2,1.352660737E-1
3.195766680E-1,3.268129006E-2,1.098793894E-1,-6.673702598E-2,1.326475690E-1
3.215764010E-1,2.412917651E-2,9.827294946E-2,-7.040221989E-2,1.232731208E-1
3.235761340E-1,1.863138936E-2,9.582948685E-2,-7.345654815E-2,1.221731709E-1
3.255763000E-1,-2.138028387E-3,8.239044994E-2,-8.750644326E-2,1.202087144E-1
3.275760330E-1,-2.138028387E-3,8.239044994E-2,-8.750644326E-2,1.202087144E-1
3.295764660E-1,-5.803219974E-3,7.933612168E-2,-9.117163718E-2,1.209965495E-1
3.315762660E-1,-1.374446787E-2,7.506006956E-2,-1.003346145E-1,1.260553819E-1
3.335759990E-1,-1.435533352E-2,7.383833826E-2,-1.003346145E-1,1.254002020E-1
3.355752990E-1,-2.168571576E-2,7.567093521E-2,-1.064432710E-1,1.323878040E-1
3.375750320E-1,-2.412917651E-2,7.200574130E-2,-1.119410545E-1,1.352695221E-1
3.395747650E-1,-2.290744707E-2,7.750352472E-2,-1.125519201E-1,1.385621961E-1
3.415744980E-1,-2.840523422E-2,7.628180087E-2,-1.168279797E-1,1.423887190E-1
3.435742310E-1,-2.718350291E-2,7.750352472E-2,-1.168279797E-1,1.428093695E-1
3.455739640E-1,-2.718350291E-2,7.628180087E-2,-1.235474944E-1,1.477221695E-1
3.475737640E-1,-2.718350291E-2,7.628180087E-2,-1.235474944E-1,1.477221695E-1
3.495740970E-1,-2.351831272E-2,7.567093521E-2,-1.229366288E-1,1.462621488E-1
3.515738300E-1,-2.596177347E-2,7.383833826E-2,-1.192714423E-1,1.426597029E-1
